Names	Genes	amr_gene_family	drug_class	resistance_mechanism	Description	Amblerclass	Subfamily	Note	Source
LRA-1	ARO:3002482	class A LRA beta-lactamase	cephalosporin;penam	inactivation	LRA-1 is a beta-lactamase isolated from soil samples in Alaska				
LRA-5	ARO:3002483	class A LRA beta-lactamase	cephalosporin;penam	inactivation	LRA-5 is a beta-lactamase isolated from soil samples in Alaska				
LRA-10	ARO:3002489	class C LRA beta-lactamase	cephalosporin;penam	inactivation	LRA-10 is a beta-lactamase isolated from soil samples in Alaska				
LRA-18	ARO:3002492	class C LRA beta-lactamase	cephalosporin;penam	inactivation	LRA-18 is a beta-lactamase isolated from soil samples in Alaska				
LRA-13	ARO:3002484	class C LRA beta-lactamase;class D LRA beta-lactamase	cephalosporin;penam	inactivation	LRA-13 is a class D/class C fusion bifunctional beta-lactamase isolated from soil samples in Alaska.				
CME-1	ARO:3004775	CME beta-lactamase	penam	inactivation	CME-1 is a class A beta-lactamase gene belonging to Chryseobacterium meningosepticum.	A	CME-like	ESBL	N (Elizabethkingiaanophelis)
CMH-1	ARO:3004777	CMH beta-lactamase	cephalosporin	inactivation	CMH-1 is a class C beta-lactamase gene found in Enterobacter cloacae.	C			N (*Enterobactercloacae)
CFE-1	ARO:3001856	CMY beta-lactamase	cephamycin	inactivation	CFE-1 is a beta-lactamase found in E.coli	C	CMY-2-like		A
CFE-2	ARO:3004464	CMY beta-lactamase	cephamycin	inactivation	CFE-2 is a plasmid-encoded AmpC beta-lactamase first described from Citrobacter freundii by Chen et al. 2018.	C	CMY-2-like		A
CMY-1	ARO:3002012	CMY beta-lactamase	cephamycin	inactivation	CMY-1 is a beta-lactamase found in the Enterobacteriaceae family	C	MOX-1-like		A
CMY-10	ARO:3002021	CMY beta-lactamase	cephamycin	inactivation	CMY-10 is a beta-lactamase found in Klebsiella aerogenes	C	MOX-1-like		A
CMY-100	ARO:3002112	CMY beta-lactamase	cephamycin	inactivation	CMY-100 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-101	ARO:3002113	CMY beta-lactamase	cephamycin	inactivation	CMY-101 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-102	ARO:3002114	CMY beta-lactamase	cephamycin	inactivation	CMY-102 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-103	ARO:3002115	CMY beta-lactamase	cephamycin	inactivation	CMY-103 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-104	ARO:3002116	CMY beta-lactamase	cephamycin	inactivation	CMY-104 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-105	ARO:3002117	CMY beta-lactamase	cephamycin	inactivation	CMY-105 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-106	ARO:3002118	CMY beta-lactamase	cephamycin	inactivation	CMY-106 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-108	ARO:3002120	CMY beta-lactamase	cephamycin	inactivation	CMY-108 is a beta-lactamase present in plasmids of clinical E.coli from humans and companion animals in the upper Midwestern USA . From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-11	ARO:3002022	CMY beta-lactamase	cephamycin	inactivation	CMY-11 is a beta-lactamase found in E.coli	C	MOX-1-like		A
CMY-110	ARO:3002071	CMY beta-lactamase	cephamycin	inactivation	CMY-110 is a beta-lactamase found in E.coli	C	CMY-2-like		A
CMY-111	ARO:3002122	CMY beta-lactamase	cephamycin	inactivation	CMY-111 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-112	ARO:3002123	CMY beta-lactamase	cephamycin	inactivation	CMY-112 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-113	ARO:3002124	CMY beta-lactamase	cephamycin	inactivation	CMY-113 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-114	ARO:3002125	CMY beta-lactamase	cephamycin	inactivation	CMY-114 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-115	ARO:3002126	CMY beta-lactamase	cephamycin	inactivation	CMY-115 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-116	ARO:3002127	CMY beta-lactamase	cephamycin	inactivation	CMY-116 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-117	ARO:3002128	CMY beta-lactamase	cephamycin	inactivation	CMY-117 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-118	ARO:3002129	CMY beta-lactamase	cephamycin	inactivation	CMY-118 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-119	ARO:3002130	CMY beta-lactamase	cephamycin	inactivation	CMY-119 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-12	ARO:3002023	CMY beta-lactamase	cephamycin	inactivation	CMY-12 is a beta-lactamase found in the Enterobacteriaceae family	C	CMY-2-like		A
CMY-13	ARO:3002024	CMY beta-lactamase	cephamycin	inactivation	CMY-13 is a beta-lactamase found in E.coli	C	CMY-2-like		A
CMY-131	ARO:3003170	CMY beta-lactamase	cephamycin	inactivation	From the Lahey list of beta-lactamases.	C	CMY-2-like		A
CMY-132	ARO:3003652	CMY beta-lactamase	cephamycin	inactivation	From Lahey's list of beta-lactamases, no additional information available	C	CMY-2-like		A
CMY-133	ARO:3003653	CMY beta-lactamase	cephamycin	inactivation	From Lahey's list of beta-lactamases, no additional information available	C	CMY-2-like		A
CMY-135	ARO:3004778	CMY beta-lactamase	cephamycin	inactivation	CMY-135 is a class C beta-lactamase that confers resistance to cephamycin.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-14	ARO:3002025	CMY beta-lactamase	cephamycin	inactivation	CMY-14 is a beta-lactamase found in Proteus mirabilis	C	CMY-2-like		A
CMY-15	ARO:3002026	CMY beta-lactamase	cephamycin	inactivation	CMY-15 is a beta-lactamase found in Proteus mirabilis	C	CMY-2-like		A
CMY-16	ARO:3002027	CMY beta-lactamase	cephamycin	inactivation	CMY-16 is a beta-lactamase found in Proteus mirabilis	C	CMY-2-like		A
CMY-17	ARO:3002028	CMY beta-lactamase	cephamycin	inactivation	CMY-17 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-18	ARO:3002029	CMY beta-lactamase	cephamycin	inactivation	CMY-18 is a beta-lactamase found in the Enterobacteriaceae family	C	CMY-2-like		A
CMY-19	ARO:3002030	CMY beta-lactamase	cephamycin	inactivation	CMY-19 is a beta-lactamase found in Klebsiella pneumoniae	C	MOX-1-like		A
CMY-2	ARO:3002013	CMY beta-lactamase	cephalosporin;cephamycin	inactivation	CMY-2 is a beta-lactamase found in Klebsiella pneumoniae	C	CMY-2-like		A
CMY-20	ARO:3002031	CMY beta-lactamase	cephamycin	inactivation	CMY-20 is a beta-lactamase found in E.coli	C	CMY-2-like		A
CMY-21	ARO:3002032	CMY beta-lactamase	cephamycin	inactivation	CMY-21 is a beta-lactamase found in E.coli	C	CMY-2-like		A
CMY-22	ARO:3002033	CMY beta-lactamase	cephamycin	inactivation	CMY-22 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-23	ARO:3002034	CMY beta-lactamase	cephamycin	inactivation	CMY-23 is a beta-lactamase found in the Enterobacteriaceae family	C	CMY-2-like		A
CMY-24	ARO:3002035	CMY beta-lactamase	cephamycin	inactivation	CMY-24 is a beta-lactamase found in the Enterobacteriaceae family	C	CMY-2-like		A
CMY-25	ARO:3002036	CMY beta-lactamase	cephamycin	inactivation	CMY-25 is a beta-lactamase found in the Enterobacteriaceae family	C	CMY-2-like		A
CMY-26	ARO:3002037	CMY beta-lactamase	cephamycin	inactivation	CMY-26 is a beta-lactamase found in the Enterobacteriaceae family	C	CMY-2-like		A
CMY-27	ARO:3002038	CMY beta-lactamase	cephamycin	inactivation	CMY-27 is a beta-lactamase found in the Enterobacteriaceae family	C	CMY-2-like		A
CMY-28	ARO:3002039	CMY beta-lactamase	cephamycin	inactivation	CMY-28 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-29	ARO:3002040	CMY beta-lactamase	cephamycin	inactivation	CMY-29 is a beta-lactamase found in the Enterobacteriaceae family	C	CMY-2-like		A
CMY-30	ARO:3002041	CMY beta-lactamase	cephamycin	inactivation	CMY-30 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-31	ARO:3002042	CMY beta-lactamase	cephamycin	inactivation	CMY-31 is a beta-lactamase found in the Enterobacteriaceae family	C	CMY-2-like		A
CMY-32	ARO:3002043	CMY beta-lactamase	cephamycin	inactivation	CMY-32 is a beta-lactamase found in E.coli	C	CMY-2-like		A
CMY-33	ARO:3002044	CMY beta-lactamase	cephamycin	inactivation	CMY-33 is a beta-lactamase found in E.coli	C	CMY-2-like		A
CMY-34	ARO:3002045	CMY beta-lactamase	cephamycin	inactivation	CMY-34 is a beta-lactamase found in E.coli	C	CMY-2-like		N (Citrobacterfreundii)
CMY-35	ARO:3002046	CMY beta-lactamase	cephamycin	inactivation	CMY-35 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-36	ARO:3002047	CMY beta-lactamase	cephamycin	inactivation	CMY-36 is a beta-lactamase found in Klebsiella pneumoniae	C	CMY-2-like		A
CMY-37	ARO:3002048	CMY beta-lactamase	cephamycin	inactivation	CMY-37 is a beta-lactamase found in Citrobacter freundii	C	CMY-2-like		N (Citrobacterfreundii)
CMY-38	ARO:3002049	CMY beta-lactamase	cephamycin	inactivation	CMY-38 is a beta-lactamase found in the Enterobacteriaceae family	C	CMY-2-like		A
CMY-39	ARO:3002050	CMY beta-lactamase	cephamycin	inactivation	CMY-39 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-4	ARO:3002015	CMY beta-lactamase	cephamycin	inactivation	CMY-4 is a beta-lactamase found in Proteus mirabilis	C	CMY-2-like		A
CMY-40	ARO:3002051	CMY beta-lactamase	cephamycin	inactivation	CMY-40 is a beta-lactamase found in the Enterobacteriaceae family	C	CMY-2-like		A
CMY-41	ARO:3002052	CMY beta-lactamase	cephamycin	inactivation	CMY-41 is a beta-lactamase found in the Enterobacteriaceae family	C	CMY-2-like		N (Citrobacterfreundii)
CMY-42	ARO:3002053	CMY beta-lactamase	cephalosporin;cephamycin	inactivation	CMY-42 is a plasmid-borne AmpC cephalosporinase gene found in E.coli	C	CMY-2-like		A
CMY-43	ARO:3002054	CMY beta-lactamase	cephamycin	inactivation	CMY-43 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-44	ARO:3002055	CMY beta-lactamase	cephamycin	inactivation	CMY-44 is a beta-lactamase found in E.coli	C	CMY-2-like		A
CMY-45	ARO:3002056	CMY beta-lactamase	cephamycin	inactivation	CMY-45 is a beta-lactamase found in Proteus mirabilis	C	CMY-2-like		A
CMY-46	ARO:3002057	CMY beta-lactamase	cephamycin	inactivation	CMY-46 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-47	ARO:3002058	CMY beta-lactamase	cephamycin	inactivation	CMY-47 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-48	ARO:3002059	CMY beta-lactamase	cephamycin	inactivation	CMY-48 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-49	ARO:3002060	CMY beta-lactamase	cephamycin	inactivation	CMY-49 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-5	ARO:3002016	CMY beta-lactamase	cephamycin	inactivation	CMY-5 is a beta-lactamase found in Klebsiella oxytoca	C	CMY-2-like		A
CMY-50	ARO:3002061	CMY beta-lactamase	cephamycin	inactivation	CMY-50 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-51	ARO:3002062	CMY beta-lactamase	cephamycin	inactivation	CMY-51 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-53	ARO:3002064	CMY beta-lactamase	cephamycin	inactivation	CMY-53 is a beta-lactamase found in E.coli	C	CMY-2-like		A
CMY-54	ARO:3002065	CMY beta-lactamase	cephamycin	inactivation	CMY-54 is a beta-lactamase found in the Enterobacteriaceae family	C	CMY-2-like		A
CMY-55	ARO:3002066	CMY beta-lactamase	cephamycin	inactivation	CMY-55 is a beta-lactamase found in the Enterobacteriaceae family	C	CMY-2-like		A
CMY-56	ARO:3002067	CMY beta-lactamase	cephamycin	inactivation	CMY-56 is a beta-lactamase found in the Enterobacteriaceae family	C	CMY-2-like		A
CMY-57	ARO:3002068	CMY beta-lactamase	cephamycin	inactivation	CMY-57 is a beta-lactamase found in the Enterobacteriaceae family	C	CMY-2-like		A
CMY-58	ARO:3002072	CMY beta-lactamase	cephamycin	inactivation	CMY-58 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-59	ARO:3002069	CMY beta-lactamase	cephamycin	inactivation	CMY-59 is a beta-lactamase found in Shigella spp.	C	CMY-2-like		A
CMY-6	ARO:3002017	CMY beta-lactamase	cephamycin	inactivation	CMY-6 is a beta-lactamase found in E.coli	C	CMY-2-like		A
CMY-60	ARO:3002073	CMY beta-lactamase	cephamycin	inactivation	CMY-60 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-61	ARO:3002074	CMY beta-lactamase	cephamycin	inactivation	CMY-61 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-62	ARO:3002075	CMY beta-lactamase	cephamycin	inactivation	CMY-62 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-63	ARO:3002076	CMY beta-lactamase	cephamycin	inactivation	CMY-63 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-64	ARO:3002077	CMY beta-lactamase	cephamycin	inactivation	CMY-64 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-65	ARO:3002078	CMY beta-lactamase	cephamycin	inactivation	CMY-65 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-66	ARO:3002079	CMY beta-lactamase	cephamycin	inactivation	CMY-66 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-67	ARO:3002080	CMY beta-lactamase	cephamycin	inactivation	CMY-67 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-68	ARO:3002081	CMY beta-lactamase	cephamycin	inactivation	CMY-68 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-69	ARO:3002082	CMY beta-lactamase	cephamycin	inactivation	CMY-69 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-7	ARO:3002018	CMY beta-lactamase	cephamycin	inactivation	CMY-7 is a beta-lactamase found in Salmonella typhimurium	C	CMY-2-like		A
CMY-70	ARO:3002083	CMY beta-lactamase	cephamycin	inactivation	CMY-70 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-71	ARO:3002084	CMY beta-lactamase	cephamycin	inactivation	CMY-71 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-72	ARO:3002085	CMY beta-lactamase	cephamycin	inactivation	CMY-72 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-73	ARO:3002086	CMY beta-lactamase	cephamycin	inactivation	CMY-73 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-74	ARO:3002087	CMY beta-lactamase	cephamycin	inactivation	CMY-74 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-75	ARO:3002088	CMY beta-lactamase	cephamycin	inactivation	CMY-75 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-76	ARO:3002089	CMY beta-lactamase	cephamycin	inactivation	CMY-76 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-77	ARO:3002090	CMY beta-lactamase	cephamycin	inactivation	CMY-77 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-78	ARO:3002091	CMY beta-lactamase	cephamycin	inactivation	CMY-78 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-79	ARO:3002092	CMY beta-lactamase	cephamycin	inactivation	CMY-79 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-8	ARO:3002019	CMY beta-lactamase	cephamycin	inactivation	CMY-8 is a beta-lactamase found in Klebsiella pneumoniae	C	MOX-1-like		A
CMY-80	ARO:3002093	CMY beta-lactamase	cephamycin	inactivation	CMY-80 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-81	ARO:3002094	CMY beta-lactamase	cephamycin	inactivation	CMY-81 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-82	ARO:3002095	CMY beta-lactamase	cephamycin	inactivation	CMY-82 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-83	ARO:3002096	CMY beta-lactamase	cephamycin	inactivation	CMY-83 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-84	ARO:3002097	CMY beta-lactamase	cephamycin	inactivation	CMY-84 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-85	ARO:3002098	CMY beta-lactamase	cephamycin	inactivation	CMY-85 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-86	ARO:3002099	CMY beta-lactamase	cephamycin	inactivation	CMY-86 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-87	ARO:3002100	CMY beta-lactamase	cephamycin	inactivation	CMY-87 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-9	ARO:3002020	CMY beta-lactamase	cephamycin	inactivation	CMY-9 is a beta-lactamase found in E.coli	C	MOX-1-like		A
CMY-90	ARO:3002103	CMY beta-lactamase	cephamycin	inactivation	CMY-90 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-93	ARO:3002106	CMY beta-lactamase	cephamycin	inactivation	CMY-93 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		N (Citrobacterfreundii)
CMY-94	ARO:3002107	CMY beta-lactamase	cephamycin	inactivation	CMY-94 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-95	ARO:3002108	CMY beta-lactamase	cephamycin	inactivation	CMY-95 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	C	CMY-2-like		A
CMY-98	ARO:3002111	CMY beta-lactamase	cephamycin	inactivation	CMY-98 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.				
CMY-99	ARO:3002070	CMY beta-lactamase	cephamycin	inactivation	CMY-99 is a beta-lactamase found in Proteus mirabilis	C	CMY-2-like		A
LAT-1	ARO:3001857	CMY beta-lactamase	cephamycin	inactivation	LAT-1 is a beta-lactamase found in Klebsiella pneumoniae	C	CMY-2-like		A
cpaA	ARO:3003994	cpa acetyltransferase	aminoglycoside	inactivation	cpaA is a capreomycin acetyltransferase protein found in Paenibacillus sp. LC231, an isolated strain of Paenibacillus in Lechuguilla Cave, NM, USA. Confers resistance to capreomycin, an aminoglycoside. Described by Pawlowski et al. 2016.				
cphA2	ARO:3003099	CphA beta-lactamase	carbapenam	inactivation	CphA2 is an Ambler Class B MBL; subclass B2 originally isolated from Aeromonas hydrophila. This enzyme has specific activity against carbapenams and is active as a mono-zinc protein				
cphA3	ARO:3003093	CphA beta-lactamase	carbapenam	inactivation	CEPH-A3 is an Ambler Class B MBL; subclass B2 originally isolated from Aeromonas veronii. This enzyme has specific activity against carbapenams and is active as a mono-zinc protein.				
cphA4	ARO:3003100	CphA beta-lactamase	carbapenam	inactivation	CphA4 is an Ambler Class B MBL; subclass B2 originally isolated from Aeromonas allosaccharophila. This enzyme has specific activity against carbapenams and is active as a mono-zinc protein.				
cphA5	ARO:3003101	CphA beta-lactamase	carbapenam	inactivation	cphA5 is an Ambler Class B MBL; subclass B2 originally isolated from Aeromonas salmonicida. This enzyme has specific activity against carbapenams and is active as a mono-zinc protein.				
cphA6	ARO:3003102	CphA beta-lactamase	carbapenam	inactivation	cphA6 is an Ambler Class B MBL; subclass B2 originally isolated from Aeromonas veronii. This enzyme has specific activity against carbapenams and is active as a mono-zinc protein.				
cphA7	ARO:3003103	CphA beta-lactamase	carbapenam	inactivation	cphA7 is an Ambler Class B MBL; subclass B2 originally isolated from Aeromonas jandaei. This enzyme has specific activity against carbapenams and is active as a mono-zinc protein.				
cphA8	ARO:3003104	CphA beta-lactamase	carbapenam	inactivation	cphA8 is an Ambler Class B MBL; subclass B2 originally isolated from Aeromonas sobria. This enzyme has specific activity against carbapenams and is active as a mono-zinc protein.				
imiH	ARO:3003094	CphA beta-lactamase	carbapenam	inactivation	imiH is an Ambler Class B MBL; subclass B2 originally isolated from Aeromonas hydrophila. This enzyme has specific activity against carbapenams.				
imiS	ARO:3003095	CphA beta-lactamase	carbapenam	inactivation	imiS is an Ambler Class B MBL; subclass B2 originally isolated from Aeromonas veronii. This enzyme has specific activity against carbapenams.				
CPS-1	ARO:3003716	CPS beta-lactamase	carbapenam	inactivation	CPS-1 is a subclass B3 metallo-beta lactamase isolated from Chyseobacterium piscium exhibiting carbapenam resistance.	B3			N (Chryseobacteriumsp.Stok-1)
CTX-M-1	ARO:3001864	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-1 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-1-like	ESBL	A
CTX-M-10	ARO:3001873	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-10 is a beta-lactamase found in E.coli	A	CTX-M-1-like	ESBL	A
CTX-M-100	ARO:3001959	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-100 is a beta-lactamase found in E.coli	A	CTX-M-8-like	ESBL	A
CTX-M-101	ARO:3001960	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-101 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A	CTX-M-1-like	ESBL	A
CTX-M-102	ARO:3001961	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-102 is a beta-lactamase found in E.coli	A	CTX-M-9-like	ESBL	A
CTX-M-103	ARO:3001962	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-103 is a beta-lactamase found in E.coli	A	CTX-M-1-like	ESBL	A
CTX-M-104	ARO:3001963	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-104 is a beta-lactamase found in E.coli	A	CTX-M-9-like	ESBL	A
CTX-M-105	ARO:3001965	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-105 is a beta-lactamase found in E.coli	A	CTX-M-9-like	ESBL	A
CTX-M-106	ARO:3001966	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-106 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A			
CTX-M-107	ARO:3001967	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-107 is a beta-lactamase found in Shigella spp.	A			
CTX-M-108	ARO:3001968	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-108 is a beta-lactamase found in Shigella spp.	A			
CTX-M-109	ARO:3001969	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-109 is a beta-lactamase found in Shigella spp.	A			
CTX-M-11	ARO:3001874	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-11 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A			
CTX-M-110	ARO:3001970	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-110 is a beta-lactamase found in Shigella spp.	A	CTX-M-9-like	ESBL	A
CTX-M-111	ARO:3001971	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-111 is a beta-lactamase found in Shigella spp.	A	CTX-M-9-like	ESBL	A
CTX-M-112	ARO:3001972	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-112 is a beta-lactamase found in Shigella spp.	A	CTX-M-9-like	ESBL	A
CTX-M-113	ARO:3001973	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-113 is a beta-lactamase found in Shigella spp.	A	CTX-M-9-like	ESBL	A
CTX-M-114	ARO:3001974	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-114 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A	CTX-M-1-like	ESBL	A
CTX-M-115	ARO:3001975	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-115 is a beta-lactamase found in A. baumannii	A			
CTX-M-116	ARO:3001976	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-116 is a beta-lactamase found in Proteus mirabilis	A	CTX-M-1-like	ESBL	A
CTX-M-117	ARO:3001977	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-117 is a beta-lactamase found in E.coli	A	CTX-M-1-like	ESBL	A
CTX-M-12	ARO:3001875	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-12 is a beta-lactamase found in Klebsiella pneumoniae	A	CTX-M-1-like	ESBL	A
CTX-M-121	ARO:3001980	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-121 is a beta-lactamase found in E.coli	A	CTX-M-9-like	ESBL	A
CTX-M-122	ARO:3001981	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-122 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A	CTX-M-9-like	ESBL	A
CTX-M-123	ARO:3001982	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-123 is a beta-lactamase found in E.coli	A	CTX-M-1-like	ESBL	A
CTX-M-124	ARO:3001983	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-124 is a beta-lactamase found in E.coli	A			
CTX-M-125	ARO:3001984	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-125 is a beta-lactamase found in E.coli	A	CTX-M-9-like	ESBL	A
